code,name,category,price,unit,image,stock
1,سورى محمصه,تسالي,0,,,0
4,لب خشب محمصه,تسالي,0,,,0
5,اسوانى محمصه,تسالي,0,,,0
8,لب بطيخ محصمه,تسالي,0,,,0
9,لب مقشر محمصه,تسالي,0,,,0
10,كاجو ني محمصه,تسالي,0,,,0
12,بندق محمص محمصه,تسالي,0,,,0
13,بندق محمصه,تسالي,0,,,0
14,فسدق ني محمصه,تسالي,0,,,0
15,فسدف محمص محمصه,تسالي,0,,,0
16,لوز محمص محمصه,تسالي,0,,,0
17,لوز نى محمصه,تسالي,0,,,0
18,عين جمل محمصه,تسالي,0,,,0
19,طوفى ميمكس طرى محمصه,تسالي,0,,,0
21,عسليه سمسم محمصه,تسالي,0,,,0
22,عسلية سادة محمصه,تسالي,0,,,0
23,زبيب ارانى محمصه,تسالي,0,,,0
24,جوز هند ناعمه,تسالي,0,,,0
25,خوز هند خشن محمصه,تسالي,0,,,0
26,قرصيا محمصه,تسالي,0,,,0
27,دوم سايب محمصه,تسالي,0,,,0
28,خروب محمصه,تسالي,0,,,0
47,بلح ناشف محمصه,تسالي,0,,,0
48,جيلي اسباني,تسالي,0,,,0
49,جلى تركي محمصه,تسالي,0,,,0
50,مشمشيه محمصه,تسالي,0,,,0
51,اكلير توفي محمصه,تسالي,0,,,0
52,حمص جنبو محمصه,تسالي,0,,,0
53,سودانى باطعة الوتس محمصه,تسالي,0,,,0
54,سودانى اطعمه محمصه,تسالي,0,,,0
55,شكولاته ترافل محمصه,تسالي,0,,,0
58,مرشملو مستوردمحمصه,تسالي,0,,,0
59,بنبوني تركي مستود محمصه,تسالي,0,,,0
64,بلح جانبو محمصه,تسالي,0,,,0
115,لانشون بيفى-وزن,جبه سايبه,0,,,0
116,حلاوه سادة سايبه-وزن,جبه سايبه,0,,,0
118,زبدة نيوزلاندي-وزن,جبه سايبه,0,,,0
119,طرشى بوليف لوكس-وزن,جبه سايبه,0,,,0
120,زاتون كلاماتا-وزن,جبه سايبه,0,,,0
121,بسطرمه مخليه-وزن,جبه سايبه,0,,,0
122,لانشون حلواني ساده- وزن,جبه سايبه,0,,,0
123,شيدر خشالة مستورده-وزن,جبه سايبه,0,,,0
124,فلمنك مستورد-وزن,جبه سايبه,0,,,0
125,جبنه رومي قديم-وزن,جبه سايبه,0,,,0
126,جينه ثلاجه-وزن,جبه سايبه,0,,,0
129,الانشون بيف زاتون عادى-وزن,جبه سايبه,0,,,0
130,حلاوهسودني-وزن,جبه سايبه,0,,,0
132,زبدةبقرى طبعي-وزن,جبه سايبه,0,,,0
133,مخلل بلدي-وزن,جبه سايبه,0,,,0
134,زاتون محشو بجزر-وزن,جبه سايبه,0,,,0
135,بسطرمةحلواني-وزن,جبه سايبه,0,,,0
136,لانشون حلواني بالزيتون- وزن,جبه سايبه,0,,,0
138,فلمنك مزاع دينا-وزن,جبه سايبه,0,,,0
139,جبنه رومى وسط-وزن,جبه سايبه,0,,,0
140,جبنه برميلى ساده-وزن,جبه سايبه,0,,,0
144,حلاوه مكسرات-وزن,جبه سايبه,0,,,0
146,زبدة بلدى طبعيه-وزن جاموسى,جبه سايبه,0,,,0
147,مخللل وكس-وزن,جبه سايبه,0,,,0
148,زاتون اسبنانى-وزن,جبه سايبه,0,,,0
149,بسطرمه ثوم-وزن,جبه سايبه,0,,,0
150,لانشون حلواني فلفل بهار- وزن,جبه سايبه,0,,,0
151,شيدرالصفراء مستورده-وزن,جبه سايبه,0,,,0
152,فلمنك افنتي-وزن,جبه سايبه,0,,,0
153,جبنه رومى جديد-وزن,جبه سايبه,0,,,0
